run_id,timestamp,sharpe_ratio,sortino_ratio,max_drawdown,total_return,win_rate,profit_factor,total_trades,avg_trade_pnl,combination_ir,is_promising,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,test_total_return,test_win_rate,test_total_trades,test_profit_factor,momentum_windows,mean_reversion_ma_periods,funding_extreme_threshold,bb_period,bb_std,rsi_period,volume_ma_period,cross_coin_lead_window,combination_min_history,regression_lookback,vol_lookback,rebalance_interval,kelly_fraction,max_fraction,min_edge,position_sizing,fixed_fraction,stop_loss_pct,take_profit_pct,max_leverage,IC_momentum,IC_mean_reversion,IC_funding_rate,IC_volatility_breakout,IC_rsi_divergence,IC_volume_imbalance,IC_bb_width,IC_funding_acceleration,IC_cross_coin
11,2026-04-10T16:12:04.210390,0.5005669049896248,nan,0.020461021228828587,0.006493115920903181,0.42589437819420783,1.1253294613764346,587,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[7, 14, 30]","[20, 40, 60]",0.0008732302187365351,17,1.921078245347742,11,23,7,34,28,31,4,0.46532514723534935,0.13261696734204279,0.015173930776091658,fixed,0.1800624034002041,0.056555605617609396,0.07774364520691016,4.867521076939105,-0.01942040266094199,0.045255728175698416,0.020859381663612314,-0.040375169261034204,0.015530546068056646,-0.025269696017266727,-0.016444645478844166,-0.11791339068818546,0.0038513125059421406
12,2026-04-10T16:12:09.423723,-2.759535837493807,nan,0.0067753407327451765,-0.005207644324050964,0.4397163120567376,0.7812286603372534,423,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[5, 10, 20]","[30, 60]",0.001085415377564895,17,2.1424686006782787,12,12,7,28,13,29,7,0.44371487585110714,0.44278258775813284,0.017181358922989907,fixed,0.03172281047274153,0.022323002779462926,0.053331799579109634,1.0897923653968018,-0.15501966877286003,0.14927426572678573,0.12213339975463447,0.040525417256789265,0.2032300505602767,0.004760648672852052,-0.07865964044333469,-0.015495033342407177,0.06680055379646399
13,2026-04-10T16:12:44.234165,-2.2548932127803045,nan,0.015990318290063577,-0.012657726948532066,0.4642857142857143,0.7125556355964021,168,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[7, 14, 30]","[10, 30]",0.0013827119761962738,27,2.173636249671789,9,20,10,7,25,44,1,0.3176646866280504,0.29250258086602604,0.0891863337534229,fixed,0.12605572924717162,0.07815075749519668,0.08078492419590941,3.933942050280951,-0.017854200879824124,0.02611667706953915,-0.005996869816680217,-0.024883072295961876,0.03187058312310458,-0.00434201837647073,-0.03638540865017066,-0.020228785284630204,0.032849869437033934
14,2026-04-10T16:12:56.271072,0.8838468934785434,nan,0.028937962405738298,0.016916045583938555,0.4647887323943662,1.2770500458312783,284,nan,nan,True,nan,nan,nan,nan,nan,nan,nan,"[5, 10, 20]","[20, 40, 60]",0.0016643003112155501,24,2.6136729223971065,18,33,1,39,40,62,3,0.7576636531188793,0.32057595291418745,0.04489735257718911,fixed,0.2894717463898274,0.05316802280488519,0.059691359165998284,4.381477427629794,-0.11338892180047692,0.12330678170038122,-0.0516813099317285,-0.07824988186844385,-0.0065308091421845535,0.02890770854826777,-0.13065726353571316,0.00544576215236992,-0.00733227085750485
15,2026-04-10T16:13:00.120441,0.5842773791412553,nan,0.0032289127880856306,0.0007399952571456314,0.5198237885462555,1.1360837615461015,227,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[1, 3, 7, 14, 30]","[20, 40, 60]",0.0019681919148050266,18,2.4118708653359224,15,21,9,37,40,63,10,0.4719816354776557,0.07046068946871112,0.03191777886647162,fixed,0.0230532299240162,0.039651627118526156,0.0892509522048134,4.270190609181377,-0.015776039550203173,0.0434873458751499,0.07094245083078471,-0.07022016238777584,0.16819437230905995,-0.042754061531264195,0.0021324447115231115,0.03159590606482113,0.07496605728145893
16,2026-04-10T16:13:18.136911,-0.21221315311110342,nan,0.003025705517124223,-0.0003793347728451302,0.42962962962962964,1.0471763555047295,135,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[7, 14, 30]","[15, 30, 50]",0.00043460999525459155,30,1.9522568829163518,15,23,9,8,17,98,2,0.5483947224978157,0.1430811981934375,0.08392991234246021,fixed,0.033518216032427585,0.0681050061654001,0.05705164433760766,3.211127728769779,-0.039481052985359096,0.01870411365986984,0.0256157873677723,-0.01213461039428879,-0.005907383548882024,0.001973822682299094,-0.011344811320083284,0.02490576652940273,0.011799622784954063
17,2026-04-10T16:13:22.231817,0.042223241480864725,nan,0.022028605443780724,0.00021081486540230898,0.5208333333333334,1.0667701358783963,48,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[7, 14, 30]","[30, 60]",0.0008506776851766814,14,2.125059013717886,10,20,7,21,21,24,9,0.37716709189496855,0.16778130294345245,0.0792163400697145,fixed,0.228784748611065,0.03842926805793438,0.14879577985514494,2.327189775642792,-0.012668446527646236,0.04351895014852353,0.10772373143079463,-0.008773968980113737,0.09112940866109219,-0.05011856229309423,0.036142224966303385,0.052400614048647376,0.06382243421379973
18,2026-04-10T16:13:57.063249,-0.7401149766919457,nan,0.01907694485998743,-0.00763803002960306,0.40029761904761907,1.0645998651247057,1344,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[1, 5, 10, 20]","[30, 60]",0.0005929455577891402,13,1.9689083889008347,11,13,9,22,22,20,1,0.19703749183513336,0.1896318958367611,0.032537268352800554,fixed,0.12097920188890628,0.04138808959637638,0.09071337721023622,3.232746104182806,-0.025151900761582503,0.037498161840390044,-0.005996869816680217,-0.008128197876683044,0.02724768285687905,0.0015800829771790063,-0.014200326413474016,-0.020228785284630204,0.033644171834310364
19,2026-04-10T16:14:14.623207,2.1266877768643027,nan,0.01866597182597433,0.03199973130243805,0.43552311435523117,1.3501762959810573,822,nan,nan,True,nan,nan,nan,nan,nan,nan,nan,"[1, 3, 5]","[30, 60]",0.0012480538418083835,13,1.7002568751640728,14,23,8,11,23,93,2,0.35350947305616043,0.4850480589764523,0.038604577852094986,fixed,0.17632548354295097,0.06045885613935124,0.12993274400347915,2.2478705976859894,-0.022332723841440607,0.015504015886925907,0.0256157873677723,0.024156301806715724,-0.005818635411364236,0.001973822682299094,-0.021908355642909844,0.02490576652940273,0.024687685957322503
20,2026-04-10T16:14:50.526708,-2.0888592514862205,nan,0.028735825323495754,-0.02549433941404311,0.43040293040293043,0.9463836642880021,1092,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[1, 3, 7, 14, 30]","[20, 40, 60]",0.0012243511954946175,23,2.5266024526457995,16,18,5,20,32,58,1,0.12748167542303288,0.12435111665759752,0.03549543451459199,fixed,0.1807325732020313,0.06145985988535806,0.06863681969359456,3.47704333730374,-0.016535997913086155,0.03302704829919229,-0.005996869816680217,-0.009277936079765205,0.019630488838051074,-0.004770805741471258,-0.03379982313244606,-0.020228785284630204,-0.008904323167609567
